fold,direction,target_prec,k,tau,units,units_excluded_lt_k,n_alerts,n_hits,precision,alerts_per_unit,recall_of_movers
2,up,0.3,10,-0.16767385601997375,67,7,427,90,0.2107728337236534,6.373134328358209,0.45454545454545453
2,up,0.3,15,-0.16767385601997375,66,8,489,102,0.2085889570552147,7.409090909090909,0.5151515151515151
2,up,0.3,20,-0.16767385601997375,63,11,510,104,0.20392156862745098,8.095238095238095,0.5252525252525253
2,up,0.4,5,0.6524338722229004,68,6,213,61,0.2863849765258216,3.1323529411764706,0.30808080808080807
2,up,0.4,10,0.6524338722229004,67,7,289,68,0.23529411764705882,4.313432835820896,0.3434343434343434
2,up,0.4,15,0.6524338722229004,66,8,307,72,0.23452768729641693,4.651515151515151,0.36363636363636365
2,up,0.4,20,0.6524338722229004,63,11,308,73,0.237012987012987,4.888888888888889,0.3686868686868687
3,down,0.2,5,-0.991632878780365,81,1,346,28,0.08092485549132948,4.271604938271605,0.18666666666666668
3,down,0.2,10,-0.991632878780365,78,4,579,48,0.08290155440414508,7.423076923076923,0.32
3,down,0.2,15,-0.991632878780365,77,5,726,60,0.08264462809917356,9.428571428571429,0.4
3,down,0.2,20,-0.991632878780365,74,8,805,69,0.08571428571428572,10.878378378378379,0.46
3,down,0.3,5,1.21836256980896,81,1,288,25,0.08680555555555555,3.5555555555555554,0.16666666666666666
3,down,0.3,10,1.21836256980896,78,4,453,42,0.09271523178807947,5.8076923076923075,0.28
3,down,0.3,15,1.21836256980896,77,5,530,51,0.09622641509433963,6.883116883116883,0.34
3,down,0.3,20,1.21836256980896,74,8,563,55,0.09769094138543517,7.608108108108108,0.36666666666666664
3,down,0.4,5,2.348278522491455,81,1,226,21,0.09292035398230089,2.7901234567901234,0.14
3,down,0.4,10,2.348278522491455,78,4,322,35,0.10869565217391304,4.128205128205129,0.23333333333333334
3,down,0.4,15,2.348278522491455,77,5,342,36,0.10526315789473684,4.441558441558442,0.24
3,down,0.4,20,2.348278522491455,74,8,339,37,0.10914454277286136,4.581081081081081,0.24666666666666667
3,up,0.2,5,-0.9014147520065308,81,1,317,45,0.14195583596214512,3.9135802469135803,0.25
3,up,0.2,10,-0.9014147520065308,78,4,577,77,0.13344887348353554,7.397435897435898,0.42777777777777776
3,up,0.2,15,-0.9014147520065308,77,5,788,96,0.1218274111675127,10.233766233766234,0.5333333333333333
3,up,0.2,20,-0.9014147520065308,74,8,929,108,0.116254036598493,12.554054054054054,0.6
3,up,0.3,5,0.3904734253883362,81,1,291,44,0.15120274914089346,3.5925925925925926,0.24444444444444444
3,up,0.3,10,0.3904734253883362,78,4,501,69,0.1377245508982036,6.423076923076923,0.38333333333333336
3,up,0.3,15,0.3904734253883362,77,5,635,83,0.13070866141732285,8.246753246753247,0.46111111111111114
3,up,0.3,20,0.3904734253883362,74,8,704,89,0.12642045454545456,9.513513513513514,0.49444444444444446
3,up,0.4,5,1.3174207210540771,81,1,259,41,0.1583011583011583,3.197530864197531,0.22777777777777777
3,up,0.4,10,1.3174207210540771,78,4,409,59,0.14425427872860636,5.243589743589744,0.3277777777777778
3,up,0.4,15,1.3174207210540771,77,5,492,70,0.14227642276422764,6.3896103896103895,0.3888888888888889
3,up,0.4,20,1.3174207210540771,74,8,522,71,0.1360153256704981,7.054054054054054,0.39444444444444443
