fold,direction,target_prec,k,units,frac_units_with_alert,frac_units_with_hit,hit_rate_given_alert,frac_units_with_mover
3,up,0.4,5,81,0.7530864197530864,0.2839506172839506,0.3770491803278688,0.691358024691358
3,up,0.4,10,78,0.782051282051282,0.3333333333333333,0.4262295081967213,0.717948717948718
3,up,0.4,15,77,0.7792207792207793,0.38961038961038963,0.5,0.7272727272727273
3,up,0.4,20,74,0.7972972972972973,0.40540540540540543,0.5084745762711864,0.7432432432432432
4,down,0.2,5,65,0.9076923076923077,0.3230769230769231,0.3559322033898305,0.49230769230769234
4,down,0.2,10,61,0.9344262295081968,0.4098360655737705,0.43859649122807015,0.5245901639344263
4,down,0.2,15,58,0.9655172413793104,0.43103448275862066,0.44642857142857145,0.5344827586206896
4,down,0.2,20,53,1.0,0.4528301886792453,0.4528301886792453,0.5660377358490566
4,down,0.3,5,65,0.8307692307692308,0.3076923076923077,0.37037037037037035,0.49230769230769234
4,down,0.3,10,61,0.8852459016393442,0.39344262295081966,0.4444444444444444,0.5245901639344263
4,down,0.3,15,58,0.9137931034482759,0.39655172413793105,0.4339622641509434,0.5344827586206896
4,down,0.3,20,53,0.9433962264150944,0.41509433962264153,0.44,0.5660377358490566
4,down,0.4,5,65,0.7692307692307693,0.27692307692307694,0.36,0.49230769230769234
4,down,0.4,10,61,0.819672131147541,0.32786885245901637,0.4,0.5245901639344263
4,down,0.4,15,58,0.8448275862068966,0.3275862068965517,0.3877551020408163,0.5344827586206896
4,down,0.4,20,53,0.9056603773584906,0.3584905660377358,0.3958333333333333,0.5660377358490566
4,up,0.2,5,65,0.9230769230769231,0.35384615384615387,0.38333333333333336,0.5384615384615384
4,up,0.2,10,61,0.9180327868852459,0.4426229508196721,0.48214285714285715,0.5737704918032787
4,up,0.2,15,58,0.9137931034482759,0.5,0.5471698113207547,0.5862068965517241
4,up,0.2,20,53,0.9245283018867925,0.5471698113207547,0.5918367346938775,0.6415094339622641
4,up,0.3,5,65,0.9076923076923077,0.35384615384615387,0.3898305084745763,0.5384615384615384
4,up,0.3,10,61,0.9016393442622951,0.4426229508196721,0.4909090909090909,0.5737704918032787
4,up,0.3,15,58,0.896551724137931,0.5,0.5576923076923077,0.5862068965517241
4,up,0.3,20,53,0.9056603773584906,0.5471698113207547,0.6041666666666666,0.6415094339622641
4,up,0.4,5,65,0.8615384615384616,0.3384615384615385,0.39285714285714285,0.5384615384615384
4,up,0.4,10,61,0.8852459016393442,0.4098360655737705,0.46296296296296297,0.5737704918032787
4,up,0.4,15,58,0.8793103448275862,0.43103448275862066,0.49019607843137253,0.5862068965517241
4,up,0.4,20,53,0.9056603773584906,0.4716981132075472,0.5208333333333334,0.6415094339622641
